secondary_cluster	n_genomes	n_arms	arms	genome_ids
601_1	2	2	gtdb_ref;youngblut	GCA_019119835.1;MHCFR00700__metabat2_low_PE.037
602_1	2	2	gtdb_ref;youngblut	GCA_019119365.1;MHCFR05601__metabat2_high_PE.011
605_1	2	2	gtdb_ref;youngblut	GCA_019115045.1;LHCFC04200__metabat2_high_PE.045
606_1	2	2	gtdb_ref;youngblut	GCA_003343905.1;SAMEA3387511__metabat2_low_PE.011
607_1	2	2	gtdb_ref;youngblut	GCA_019116705.1;NBJMC04201__metabat2_high_PE.018
615_1	2	2	gtdb_ref;youngblut	GCF_022180365.1;HHCFC01400__metabat2_high_PE.029
620_1	2	2	gtdb_ref;youngblut	GCA_019112805.1;MHCFR04200__metabat2_high_PE.011
621_1	2	2	gtdb_ref;youngblut	GCA_019113345.1;NHCFR05603__maxbin2_high_prob.035
621_2	2	2	gtdb_ref;youngblut	GCA_019116585.1;DGYFR06201__maxbin2_high_prob.025
621_3	2	2	gtdb_ref;youngblut	GCA_019119685.1;NBJMR02800__metabat2_low_PE.044
644_1	2	2	gtdb_ref;youngblut	GCF_010509575.1;SAMEA3387450__maxbin2_low_prob.013
659_1	2	2	gtdb_ref;youngblut	GCA_019114265.1;NHCFR00700__metabat2_high_PE.054
661_1	2	2	gtdb_ref;youngblut	GCF_002161595.1;NHCFR00700__metabat2_high_PE.065
665_1	2	2	gtdb_ref;youngblut	GCA_019118765.1;DSLFC04102__metabat2_high_PE.037
666_1	2	2	gtdb_ref;youngblut	GCA_019114225.1;NHCFR05603__metabat2_low_PE.044
666_2	2	2	gtdb_ref;youngblut	GCA_019120375.1;NBJMC04202__maxbin2_low_prob.008
749_1	2	2	gtdb_ref;youngblut	GCA_947623585.1;X22_European_Rabbit__metabat2_low_PE.009
769_1	2	2	gtdb_ref;youngblut	GCA_937993755.1;X371_Linnaeus_Two_toed_Sloth__maxbin2_low_prob.012
772_1	2	2	gtdb_ref;youngblut	GCA_021202895.1;X368_European_Ground_Squirrel__metabat2_low_PE.002
806_1	2	2	gtdb_ref;youngblut	GCA_025150425.1;X199_Human__maxbin2_low_prob.003
943_1	2	2	gtdb_ref;youngblut	GCA_000980705.1;SAMEA104315423__metabat2_low_PE.024
984_1	2	2	gtdb_ref;youngblut	GCA_946537515.1;R22__maxbin2_high_prob.028
